,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2022-01-01,3414915.0,4718983.7532726,,,,
2022-01-02,3152717.0,4487253.37307391,,,,
2022-01-03,3374746.0,4712294.48326554,,,,
2022-01-04,3374295.0,4528858.4216403,,,,
2022-01-05,3364815.0,4222249.1370414,,,,
2022-01-06,3683322.0,4795685.244,,,,
2022-01-07,9155532.0,13869581.02359024,,,,
2022-01-08,7365290.0,11254163.12,,,,
2022-01-09,6264451.0,8879174.33742766,,,,
2022-01-10,7370287.0,9804371.4515868,,,,
2022-01-11,5430676.0,7270433.65715964,,,,
2022-01-12,6947538.0,9712861.06158498,,,,
2022-01-13,5171918.0,7126903.004,,,,
2022-01-14,5177677.0,7349938.81776167,,,,
2022-01-15,5929442.0,9066251.65351108,,,,
2022-01-16,5055803.0,7786180.25914657,,,,
2022-01-17,6289122.0,10088332.1739606,,,,
2022-01-18,5492167.0,8095454.158,,,,
2022-01-19,8469721.0,13021949.65331611,,,2.671081616940377,
2022-01-20,8714262.0,13724733.4649094,,,0.8276704465796172,
2022-01-21,5725359.0,8135735.139,,,1.1659718138075406,
2022-01-22,8070806.0,12049713.358,,,1.0637470917366796,
2022-01-23,7205458.0,10498352.306,,,1.0432651386400598,
2022-01-24,7625829.0,11827660.779,,,1.1899658569509244,
2022-01-25,9005080.0,14951634.9163972,,,0.5631232379189174,
2022-01-26,8992913.0,15437520.34050427,,,0.5884206375378347,
2022-01-27,9714951.0,17506341.702,,,0.7657383478153995,
2022-01-28,8310533.0,14969538.04366636,,,0.7824944054740403,
2022-01-29,7861238.0,13562750.6160839,,,0.8452302116863978,
2022-01-30,7992397.0,13858816.398,1.0143772298611111,1.0127486738541667,1.1019441312152776,1.1265473371527779
2022-01-31,9427301.0,17790440.53273318,1.0143772298611111,1.0127486738541667,0.6467041120997228,1.1265473371527779
2022-02-01,9030007.0,16999123.08580458,1.0143772298611111,1.0127486738541667,0.5182348208475323,1.1265473371527779
2022-02-02,9628739.0,17861310.845,,,0.5817702372913406,
2022-02-03,11467463.0,23329800.74922868,,,0.6250331439623219,
2022-02-04,10529256.0,22048262.064,,,0.4647332550414206,
2022-02-05,9478368.0,19440132.768,,,0.7734052216278031,
2022-02-06,8950205.0,18523639.2667568,,,0.912269196163979,
2022-02-07,8452820.0,16888734.36,,,1.2389006784271739,
2022-02-08,8157091.0,15596067.27327676,,,1.521557991257088,
2022-02-09,8210954.0,16163410.99250062,,,1.4478285011911511,
2022-02-10,7285885.0,13617221.1427056,,,1.5456155095168422,
2022-02-11,8251574.0,15856427.83466762,,,1.2529369847970941,
2022-02-12,7790437.0,14291613.39088136,,,1.5823196674988596,
2022-02-13,7535290.0,13797333.3831165,,,1.9878720604810682,
2022-02-14,7522116.0,14419896.372,,,1.7788215454929377,
2022-02-15,10417066.0,22667535.616,,,0.6640649101518991,
2022-02-16,10423487.0,23746723.35354573,,,0.5227344716194293,
2022-02-17,9883791.0,22175344.6508952,,,0.5489764573834012,
2022-02-18,9330196.0,19819647.95336096,,,0.7514827739314933,
2022-02-19,7923066.0,15702818.47296276,,,1.2180408783605676,
2022-02-20,7562396.0,15276039.92,,,1.4890423299170925,
2022-02-21,9554541.0,16706403.77227443,,,1.1819858354096677,
2022-02-22,10610394.0,18939553.29,,,1.861755427944999,
2022-02-23,9554477.0,16466594.5934156,,,1.7374668802177877,
2022-02-24,7966404.0,14374443.948732,,,1.7071525010095252,
2022-02-25,8410305.0,15626346.69,,,1.5478363397364392,
2022-02-26,7875279.0,14561390.871,,,1.7467715063010385,
2022-02-27,9656768.0,18280261.824,,,1.5331266083761699,
2022-02-28,9037613.0,21873461.26573062,,,1.5858801308805535,
2022-03-01,10065211.0,25869807.32098477,,,0.6566742691996948,
2022-03-02,11379853.0,31812329.44534092,,,0.6601146830335524,
2022-03-03,10553371.0,29314233.28771396,,,0.5191337135186865,
2022-03-04,10924917.0,27181193.496,,,0.6621952844409402,
2022-03-05,8316344.0,19367256.34170808,,,1.18045453756721,
2022-03-06,7418489.0,16640203.02940086,,,1.2824109787251596,
2022-03-07,0.0,0.0,,,1.0440659001589903,
2022-03-08,12218237.0,37228968.139,,,0.5007886514116535,
2022-03-09,8957078.0,28044611.218,,,0.6744944056230305,
2022-03-10,7962072.0,21912850.53246816,,,1.0091913768717686,
2022-03-11,8145774.0,20967222.276,,,1.7206789098028947,
2022-03-12,9802127.0,27031446.78218972,,,1.1921273667585852,
2022-03-13,8550630.0,22017872.25,,,1.1386005635708132,
2022-03-14,9600022.0,27765563.40527032,,,1.0549941966083507,
2022-03-15,10688384.0,32413339.78993152,,,0.7578224213251427,
2022-03-16,9500646.0,29005211.82529314,,,0.6961218804614229,
2022-03-17,9438085.0,29357844.16157105,,,0.8018427367716371,
2022-03-18,9573060.0,32475633.427104,,,0.5881612570929909,
2022-03-19,8928563.0,29848083.07338298,,,0.6106678033977215,
2022-03-20,8643763.0,28010094.1208451,,,0.6683851474675351,
2022-03-21,8148539.0,25810513.98700495,,,0.7084820453458172,
2022-03-22,8694122.0,28654187.18306178,,,0.6653921439037129,
2022-03-23,8211805.0,26133940.8156337,,,1.121336865863344,
2022-03-24,8210110.0,25647096.0484487,,,1.2057002248079938,
2022-03-25,8178259.0,25641148.72473354,,,0.9962656090407245,
2022-03-26,8117981.0,25531609.41153128,,,0.9662433749747701,
2022-03-27,7847209.0,25001207.874,,,1.2085047698933498,
2022-03-28,8223736.0,28498460.96748808,,,1.3500695873079003,
2022-03-29,7469261.0,25868438.61635648,,,1.258744607022579,
2022-03-30,6976091.0,24149317.6858933,,,1.2864107364986366,
2022-03-31,6209430.0,20205485.22,,,1.475826173626536,
2022-04-01,5670493.0,18640811.63718811,,,1.3811852132791904,
2022-04-02,5588179.0,18494045.76553464,,,1.2697262386239099,
2022-04-03,5479918.0,17963254.55355278,,,1.1997256875124878,
2022-04-04,5118872.0,16436423.3645172,,,1.296455465964367,
2022-04-05,4958363.0,14936771.28363815,,,1.2018906835776921,
2022-04-06,6112330.0,18856222.5315254,,,1.1250125983406813,
2022-04-07,7354045.0,24311430.8489044,,,0.9358011109396868,
2022-04-08,11308638.0,45351274.89872166,,,0.5271732450306067,
2022-04-09,8257271.0,30455605.82758903,,,0.5765981184644846,
2022-04-10,11872376.0,49138234.03345736,,,0.7404999014130282,
2022-04-11,11579957.0,46580876.93924369,,,0.4549328445995442,
