,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2022-01-01,12293525.0,25614589.7807655,,,,
2022-01-02,12793270.0,26822148.6863617,,,,
2022-01-03,12488078.0,25538801.85858192,,,,
2022-01-04,12614609.0,25911763.58719795,,,,
2022-01-05,11971130.0,21679357.2961,,,,
2022-01-06,13503943.0,24776399.79603957,,,,
2022-01-07,13175600.0,21926173.949464,,,,
2022-01-08,14213786.0,21680003.51008,,,,
2022-01-09,12791136.0,20132202.51654336,,,,
2022-01-10,14154967.0,20748456.50775316,,,,
2022-01-11,16013476.0,23878572.88316288,,,,
2022-01-12,15107495.0,24584426.6135,,,,
2022-01-13,14327573.0,21421827.788231,,,,
2022-01-14,15959147.0,23458515.83124586,,,,
2022-01-15,22950711.0,32621681.60118,,,,
2022-01-16,25021310.0,33980690.4717,,,,
2022-01-17,28726339.0,35237450.99774,,,,
2022-01-18,33505020.0,38835668.682,,,,
2022-01-19,30837844.0,36227032.00419004,,,3.4881753126387416,
2022-01-20,29332351.0,31089358.8249,,,4.2604541626136365,
2022-01-21,26799941.0,23136760.24448285,,,4.791808744330576,
2022-01-22,28652482.0,20993673.5614,,,3.3067629209290916,
2022-01-23,29192197.0,25073178.0033,,,2.7228135370619575,
2022-01-24,28275749.0,24382178.3627,,,2.4337728752104564,
2022-01-25,34137526.0,35165034.8088266,,,2.090414437761526,
2022-01-26,30134396.0,32165454.2904,,,1.1499892427889669,
2022-01-27,22690052.0,21864134.1072,,,2.0439571648269452,
2022-01-28,21843130.0,21624698.7,,,2.522048874390742,
2022-01-29,23318643.0,22593433.2027,,,2.717413266306115,
2022-01-30,19118753.0,19183756.7602,2.6538928156250003,0.95916185,2.8291090637847223,1.1479520044097222
2022-01-31,19704476.0,19670386.07425144,2.6538928156250003,0.95916185,2.9412239950691026,1.1479520044097222
2022-02-01,22230692.0,21439279.3648,2.6538928156250003,0.95916185,3.2561214496524773,1.1479520044097222
2022-02-02,25250304.0,21844037.9904,,,4.065652251812249,
2022-02-03,27840132.0,23554009.21076244,,,4.1202805386214,
2022-02-04,28330027.0,25863206.33039066,,,3.9339411804554154,
2022-02-05,29435872.0,28313376.2315008,,,3.3288957818168234,
2022-02-06,30705872.0,33681270.9968,,,3.153523266496555,
2022-02-07,29922597.0,34972945.18992477,,,2.662284420037407,
2022-02-08,26193754.0,28274766.29272506,,,3.3929206323064562,
2022-02-09,23625833.0,25981328.5501,,,3.584675416983673,
2022-02-10,19464038.0,19631773.04563222,,,3.8981971940318596,
2022-02-11,21367284.0,20045439.709908,,,3.5200150461140973,
2022-02-12,20069993.0,18960122.3871,,,3.524039973454439,
2022-02-13,19902175.0,18214894.874371,,,3.5453627595466912,
2022-02-14,19120220.0,17656818.589893,,,3.5025675313963234,
2022-02-15,19461052.0,19146590.591258,,,3.1532099926785033,
2022-02-16,19869621.0,19060927.4253,,,3.5026079844171902,
2022-02-17,18220689.0,16050485.95900083,,,3.8465574048540927,
2022-02-18,19163592.0,16723902.12314472,,,3.341930332044715,
2022-02-19,19634211.0,17443948.39931682,,,2.842880618950981,
2022-02-20,20013471.0,16169090.16019014,,,2.8696467883521897,
2022-02-21,21417353.0,15887392.4554,,,2.597507907153227,
2022-02-22,20485980.0,16392881.196,,,2.31955791630999,
2022-02-23,20773356.0,15685561.02076344,,,2.1714512362016527,
2022-02-24,19141610.0,14123847.6876261,,,2.374804709676541,
2022-02-25,18344285.0,14266018.59638435,,,2.164491749831024,
2022-02-26,18507248.0,14161176.33143408,,,2.8311806371509047,
2022-02-27,19411816.0,14107370.72461872,,,2.7541019719148268,
2022-02-28,19033434.0,15645482.748,,,2.615638977750985,
2022-03-01,18074115.0,15087934.84271985,,,2.912461746841798,
2022-03-02,18553731.0,14996980.7673,,,3.0090879447978076,
2022-03-03,18162978.0,14216162.8806,,,3.256540162740519,
2022-03-04,17332069.0,12709665.47337598,,,3.310809697065256,
2022-03-05,20022342.0,15204367.04588052,,,3.025470093242596,
2022-03-06,18109510.0,12930182.1718156,,,3.264757515633033,
2022-03-07,0.0,0.0,,,3.3110508076108016,
2022-03-08,18363935.0,13500034.71180075,,,3.0023004282862593,
2022-03-09,18340773.0,13555665.3243,,,3.099971162312227,
2022-03-10,20042762.0,14404733.0494,,,3.7146469443041323,
2022-03-11,19009570.0,13259175.075,,,2.9000082689742825,
2022-03-12,18319476.0,12645666.26886612,,,3.0815931072760288,
2022-03-13,18453622.0,12579834.1174,,,3.855845150660145,
2022-03-14,18834436.0,13131368.7792,,,4.241576745853184,
2022-03-15,21078993.0,14218097.38497486,,,4.13407150182162,
2022-03-16,19622890.0,14038923.6961001,,,3.173887273077528,
2022-03-17,20568351.0,14547994.6623,,,3.5212494582013867,
2022-03-18,20083208.0,14598483.8952,,,3.6296834868307855,
2022-03-19,26852083.0,25173827.8125,,,2.5885808271740376,
2022-03-20,24947805.0,20434928.6955204,,,2.1725766919888465,
2022-03-21,25734837.0,20826901.71446199,,,3.3721859210941285,
2022-03-22,24614463.0,19874316.29608479,,,3.508636031183507,
2022-03-23,59865112.0,69503395.032,,,1.622780107104688,
2022-03-24,47781294.0,51568464.68652582,,,1.6271198069943735,
