,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2022-01-01,24349306.0,5165302.04339264,,,,
2022-01-02,25221782.0,5343211.56487838,,,,
2022-01-03,26598222.0,5470042.18442346,,,,
2022-01-04,28714911.0,5731515.18744126,,,,
2022-01-05,26511705.0,5059228.66515,,,,
2022-01-06,26176908.0,4887367.72298148,,,,
2022-01-07,30543366.0,5273006.70624,,,,
2022-01-08,28828382.0,4734868.5933406,,,,
2022-01-09,25667788.0,4362748.02276876,,,,
2022-01-10,27263724.0,4308225.11724408,,,,
2022-01-11,32266928.0,5171484.11640816,,,,
2022-01-12,43128226.0,7179768.40437418,,,,
2022-01-13,54104606.0,8485100.9183862,,,,
2022-01-14,49855863.0,8804919.3247725,,,,
2022-01-15,51478520.0,8892907.6377924,,,,
2022-01-16,48921142.0,8234202.13106644,,,,
2022-01-17,45144906.0,7192319.83921686,,,,
2022-01-18,47827961.0,7373115.4225951,,,,
2022-01-19,44888543.0,6779784.63389171,,,3.987176347188007,
2022-01-20,44823782.0,6652745.72444,,,3.904733493172982,
2022-01-21,41847629.0,5009579.66759,,,3.7791219076585523,
2022-01-22,37396316.0,4205215.7342,,,2.7868529950144834,
2022-01-23,30275459.0,3436870.10568,,,2.6069746985431204,
2022-01-24,30419303.0,3381713.91451,,,2.630703185867191,
2022-01-25,28901146.0,3280321.39963878,,,2.6798852369396986,
2022-01-26,41084271.0,4851395.87844942,,,2.385675922485845,
2022-01-27,35144325.0,3965086.0708155,,,3.1141376922029775,
2022-01-28,29384326.0,3478516.51188,,,3.169411413764385,
2022-01-29,29650595.0,3546625.38081215,,,2.7078522859779373,
2022-01-30,28819013.0,3322544.00877,2.5446005103125002,1.0007544421875,2.805230413576389,1.1421584016666668
2022-01-31,28649167.0,3248242.55446,2.5446005103125002,1.0007544421875,2.9840576171429314,1.1421584016666668
2022-02-01,29640785.0,3440405.91495,2.5446005103125002,1.0007544421875,2.984360664424658,1.1421584016666668
2022-02-02,32343314.0,3513750.1411431,,,2.890951015269219,
2022-02-03,29934030.0,3384042.0915,,,2.88140092406265,
2022-02-04,38165716.0,4816895.01636,,,2.4170891309412665,
2022-02-05,37176763.0,4825780.28161268,,,2.44795580765087,
2022-02-06,34235484.0,4489641.37176,,,2.808094546692651,
2022-02-07,33638544.0,4659520.96358208,,,3.062609229446153,
2022-02-08,33705864.0,4500281.23840728,,,2.908123942374278,
2022-02-09,34238962.0,4881824.75614276,,,2.848352481305943,
2022-02-10,38317753.0,5662214.36081,,,2.5974227950076614,
2022-02-11,84679542.0,12604549.8267,,,1.222599143144266,
2022-02-12,69287136.0,9616087.22838144,,,2.0794426632275784,
2022-02-13,69310671.0,10242341.43440898,,,2.4596502329906356,
2022-02-14,70458697.0,11049332.86354,,,1.3917244097805592,
2022-02-15,63456644.0,10236825.81008,,,1.1372595001527515,
2022-02-16,56691038.0,8850604.85256,,,1.7596883207620992,
2022-02-17,79737994.0,12357969.7337068,,,1.6816023078348112,
2022-02-18,73243311.0,9981598.42308,,,1.490072484667723,
2022-02-19,66728821.0,9827820.75688,,,2.073153748444953,
2022-02-20,63873293.0,8545063.67001364,,,1.720734637272789,
2022-02-21,58317111.0,7122268.76643,,,2.0730349822968406,
2022-02-22,57438533.0,7573844.96138,,,1.9016310341911418,
2022-02-23,63562886.0,7673879.85012084,,,2.024863528518787,
2022-02-24,50343332.0,6059303.80562052,,,2.182345440754973,
2022-02-25,47204644.0,6067212.89332,,,1.6394875423094488,
2022-02-26,64530076.0,7779745.96256,,,1.6318673812796098,
2022-02-27,61105685.0,7019246.699361,,,1.8173653494350477,
2022-02-28,54435147.0,7058605.51149,,,1.9819535033857083,
